序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platform
（android/ios）","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）","if_token
(yes/no)",预期返回包含的内容
1,活动-创建-成功,activity/activityCreate,http://172.28.6.111:8080/activity/activityCreate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""name"" : ""test1创建的活动"",  ""startTime"" : ""今天"",  ""spreadTitle"" : ""测试吧"",  ""address"" : ""思源大厦"",  ""fromFeedId"" : ""c_336109""}",yes,"""result"":""success"""
2,活动-创建-空时间地点-成功,activity/activityCreate,http://172.28.6.111:8080/activity/activityCreate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""name"" : ""test1创建的活动"", ""spreadTitle"" : ""测试吧"", ""fromFeedId"" : ""c_336109""}",yes,"""result"":""success"""
3,活动-创建-长地址时间-成功,activity/activityCreate,http://172.28.6.111:8080/activity/activityCreate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""name"" : ""test1创建的活动"",  ""startTime"" : ""2015-08-27 ： 11：26:30"",  ""spreadTitle"" : ""测试吧"",  ""address"" : ""北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京北京"",  ""fromFeedId"" : ""c_336109""}",yes,"""result"":""success"""
4,活动-创建-可选参数测试1-成功,activity/activityCreate,http://172.28.6.111:8080/activity/activityCreate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""name"" : ""可选参数测试"", ""startTime"" : ""today"", ""spreadTitle"" : ""可选参数测试"", ""address"" : ""北京市朝阳区望京西思源大厦"", ""fromFeedId"" : ""c_336440"", ""broadcastLocation"" : ""思源大厦5层"", ""maxNum"" : 10, ""activityMember"" : ""Tester02""}",yes,"""result"":""success"""
5,活动-创建-可选参数测试2-成功,activity/activityCreate,http://172.28.6.111:8080/activity/activityCreate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""name"" : ""可选参数测试"", ""startTime"" : ""today"", ""spreadTitle"" : ""可选参数测试"", ""address"" : ""北京市朝阳区望京西思源大厦"", ""fromFeedId"" : ""c_336440"", ""activityMemberFeedId"" : ""c_333523"", ""isMemberPublic"" : 0, ""isExtMemberPublic"" : 0}",yes,"""result"":""success"""
6,活动-创建-可选参数测试3-成功,activity/activityCreate,http://172.28.6.111:8080/activity/activityCreate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""name"" : ""可选参数测试"", ""startTime"" : ""today"", ""spreadTitle"" : ""可选参数测试"", ""address"" : ""北京市朝阳区望京西思源大厦"", ""fromFeedId"" : ""c_336440"",""enrollType"" : 1, ""registrationItems"" : ""Tester"", ""backgroundId"" : ""test eng"", ""isAutoCheck"" : 0}",yes,"""result"":""success"""
7,活动-访问-匿名-成功,activity/activityFrame,http://172.28.6.111:8080/activity/activityFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""aspectType"" : ""1"", ""toFeedId"" : ""a_660"", ""version"" : ""1440657299317"", ""fromFeedId"" : ""c_336440""}",yes,"""result"":""success"""
8,活动-访问-匿名-成功,activity/activityFrame,http://172.28.6.111:8080/activity/activityFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""aspectType"" : ""2"", ""toFeedId"" : ""a_660"", ""version"" : ""1440657299317"", ""fromFeedId"" : ""c_336440""}",yes,"""result"":""success"""
9,活动-访问-面板-成功,activity/activityFrame,http://172.28.6.111:8080/activity/activityFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""aspectType"" : ""3"", ""toFeedId"" : ""a_660"", ""version"" : ""1440657299317"", ""fromFeedId"" : ""c_336440""}",yes,"""result"":""success"""
10,活动-访问-不存在活动-失败,activity/activityFrame,http://172.28.6.111:8080/activity/activityFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""aspectType"" : ""3"", ""toFeedId"" : ""a_999660"", ""version"" : ""1440657299317"", ""fromFeedId"" : ""c_336440""}",yes,"""code"":""5018"""
11,活动-更新-成功,activity/activityUpdate,http://172.28.6.111:8080/activity/activityUpdate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""toFeedId"" : ""a_660"",""spreadTitle"" : ""test"", ""address"" : """",""lat"" : ""0.0"",""maxNum"" : ""5"", ""startTime"" : ""today"",""name"" : ""ApiTest"",  ""lng"" : ""0.0"",""fromFeedId"" : ""c_336440""}",yes,"""result"":""success"""
12,活动-更新-可选参数1-成功,activity/activityUpdate,http://172.28.6.111:8080/activity/activityUpdate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""toFeedId"" : ""a_660"",""spreadTitle"" : ""test"", ""address"" : """",""isMemberPublic"" : ""1"",""isExtMemberPublic"" : ""0"", ""startTime"" : ""today"",""name"" : ""ApiTest"",  ""lng"" : ""0.0"",""fromFeedId"" : ""c_336440"", ""isSpecifyLocation"" : ""1""}",yes,"""result"":""success"""
13,活动-更新-可选参数2-成功,activity/activityUpdate,http://172.28.6.111:8080/activity/activityUpdate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""toFeedId"" : ""a_660"",""spreadTitle"" : ""test"", ""address"" : """",""isMemberPublic"" : ""1"",""isExtMemberPublic"" : ""1"", ""startTime"" : ""today"",""name"" : ""ApiTest"",  ""lng"" : ""0.0"",""fromFeedId"" : ""c_336440"", ""isSpecifyLocation"" : ""1""}",yes,"""result"":""success"""
14,活动-推广-添加1-成功,activity/activityBroadcast,http://172.28.6.111:8080/activity/activityBroadcast,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_692"", ""broadcastSubCategory"" : ""20605@折扣"",""cardFeedId"" : ""c_336440"",""broadcastCategory"" : ""206@购物""}",yes,"""result"":""success"""
15,活动-推广-添加2-成功,activity/activityBroadcast,http://172.28.6.111:8080/activity/activityBroadcast,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_692"",""broadcastSubCategory"" : ""21105@折扣,20702@团购"",""cardFeedId"" : ""c_336440"",""broadcastCategory"" : ""211@购物,207@生活休闲""}",yes,"""result"":""success"""
16,活动-推广-添加3-成功,activity/activityBroadcast,http://172.28.6.111:8080/activity/activityBroadcast,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_692"",""broadcastSubCategory"" : ""20605@折扣,20702@团购,20407@摄影"",""cardFeedId"" : ""c_336440"",""broadcastCategory"" : ""206@购物,207@生活休闲,204@社交""}",yes,"""result"":""success"""
17,活动-更新活动简介-报名机制1-成功,activity/updateActivityMsg,http://172.28.6.111:8080/activity/updateActivityMsg,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""toFeedId"" : ""a_661"",""enrollType"" : ""2"",""fromFeedId"" : ""c_336440""}",yes,"""result"":""success"""
18,活动-更新活动简介-报名机制2-成功,activity/updateActivityMsg,http://172.28.6.111:8080/activity/updateActivityMsg,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""toFeedId"" : ""a_661"",""enrollType"" : ""1"",""fromFeedId"" : ""c_336440""}",yes,"""result"":""success"""
