序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platform
（android/ios）","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）","if_token
(yes/no)",预期返回包含的内容
1,群组-创建-成功,group/createGroup,http://124.251.88.61:18082/group/createGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""name"" : ""测试群组进行借口测试"", ""userId"" : ""324527"", ""cardFeedId"" : ""c_336440"", ""spreadTitle"" : ""请勿删除""}",yes,"""result"":""success"""
2,群组-创建-可选参数1-成功,group/createGroup,http://124.251.88.61:18082/group/createGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""name"" : ""测试群组进行借口测试"", ""des"" : ""测试描述"",""address"" : ""思源大厦"", ""userId"" : ""324527"", ""lat"" : ""30.3"", ""lng"" : ""30.4"",""cardFeedId"" : ""c_336440"", ""spreadTitle"" : ""请勿删除""}",yes,"""result"":""success"""
3,群组-创建-可选参数2-成功,group/createGroup,http://124.251.88.61:18082/group/createGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""name"" : ""测试群组进行借口测试"", ""groupBlackImg"" : ""http://toon.scloud.systoon.com/requestDownload?stoid=68d7d52d37cae0a9d3652d8b74cb25201002&returnType=2&returnMimeType=image/jpeg"" , ""userId"" : ""324527"", ""cardFeedId"" : ""c_336440"", ""spreadTitle"" : ""请勿删除""}",yes,"""result"":""success"""
4,群组-创建-可选参数3-成功,group/createGroup,http://124.251.88.61:18082/group/createGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""name"" : ""测试群组进行借口测试"", ""groupLogo"" : ""质量第一"", ""userId"" : ""324527"", ""cardFeedId"" : ""c_336440"", ""spreadTitle"" : ""请勿删除""}",yes,"""result"":""success"""
5,群组-创建-超长名字宣传语-成功,group/createGroup,http://124.251.88.61:18082/group/createGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""name"" : ""一个很长名字的名字用创建的群组"", ""cardFeedId"" : ""c_337291"", ""spreadTitle"" : ""一个很长名字的名字用创建的群组!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十一二三四五六七八九十""}",yes,"""result"":""success"""
6,群组-获取-访问面-成功,group/showGroupFrame,http://124.251.88.61:18082/group/showGroupFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""aspectType"" : ""3"", ""toFeedId"" : ""g_2015"",  ""version"" : ""0"", ""fromFeedId"" : ""c_337291""}",yes,"""result"":""success"""
7,群组-访问面-时间戳-成功,group/showGroupFrame,http://124.251.88.61:18082/group/showGroupFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""aspectType"" : ""3"", ""toFeedId"" : ""g_2015"", ""version"" : ""1441101883000"", ""fromFeedId"" : ""c_337291""}",yes,"""result"":""success"""
8,群组-访问面-匿名-成功,group/showGroupFrame,http://124.251.88.61:18082/group/showGroupFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""aspectType"" : ""1"", ""toFeedId"" : ""g_1448419971693163"", ""version"" : ""0"", ""fromFeedId"" : ""c_1448727411652931""}",yes,"""result"":""success"""
9,群组-访问面-好友-成功,group/showGroupFrame,http://124.251.88.61:18082/group/showGroupFrame,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""aspectType"" : ""2"", ""toFeedId"" : ""a_1940"", ""version"" : ""0"", ""fromFeedId"" : ""c_336440""}",yes,"""result"":""success"""
10,群组-获取-设置面-成功,group/obtainGroupSettingsInfo,http://124.251.88.61:18082/group/obtainGroupSettingsInfo,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""version"" : ""0"", ""feedId"" : ""g_2015""}",yes,"""result"":""success"""
