序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）",if_token,预期返回包含的内容,,,,,,,,
1,获取联系人,communicate/obtainContacts,http://124.251.88.61:18084/communicate/obtainContacts,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""lastUpdateTime"":""21334343432""}",yes,"""result"":""success"",""data"":{""tnpContactList"":.*""code"":""0""",,,,,,,,
2,获取联系人-lastUpdateTime为空,communicate/obtainContacts,http://124.251.88.61:18084/communicate/obtainContacts,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""lastUpdateTime"":""""}",yes,"""code"":""6000""",,,,,,,,
3,获取未处理的好友请求,communicate/obtainAllNewFriendByUserId,http://124.251.88.61:18084/communicate/obtainAllNewFriendByUserId,8.63637E+14,android,19,3.1.1,15300136026,{},yes,"""result"":""success""",,,,,,,,
4,请求添加好友(新feed)--扫一扫,communicate/addFriend ,http://124.251.88.61:18084/communicate/addFriend ,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""addComment"":""想与你交换名片..."",""feedId"":""c_300156"",""friendFeedId"":""c_333326"",""fromWhere"":""5""}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
5,请求添加好友(新feed)-手机通讯录,communicate/addFriend ,http://124.251.88.61:18084/communicate/addFriend ,8.63637E+14,android,19,3.1.1,15300136026,"{""addComment"":""想与你交换名片..."",""feedId"":""c_300156"",""friendFeedId"":""c_300910"",""fromWhere"":""1""}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
6,请求添加好友(新feed)--群聊,communicate/addFriend ,http://124.251.88.61:18084/communicate/addFriend ,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""addComment"":""想与你交换名片..."",""feedId"":""c_300156"",""friendFeedId"":""c_333326"",""fromWhere"":""2""}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
7,请求添加好友(新feed)--查找3,communicate/addFriend ,http://124.251.88.61:18084/communicate/addFriend ,8.63637E+14,android,19,3.1.1,15300136026,"{""addComment"":""想与你交换名片..."",""feedId"":""c_300156"",""friendFeedId"":""c_300910"",""fromWhere"":""3""}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
8,请求添加好友(新feed)--推荐,communicate/addFriend ,http://124.251.88.61:18084/communicate/addFriend ,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""feedId"":""c_300156"",""friendFeedId"":""c_333326"",""fromWhere"":""4""}",yes,"""result"":""success"",""data"":.*""code"":""0""",,,,,,,,
9,请求添加好友(新feed)--friendFeedId不存在,communicate/addFriend ,http://124.251.88.61:18084/communicate/addFriend ,8.63637E+14,android,19,3.1.1,15300136026,"{""feedId"":""c_300156"",""friendFeedId"":""c_3333261234"",""fromWhere"":""4""}",yes,"""result"":""success"",""data"":{""status"":""505""},""code"":""0""",,,,,,,,
10,请求添加好友(新feed)--已经是好友,communicate/addFriend ,http://124.251.88.61:18084/communicate/addFriend ,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""addComment"":""想与你交换名片..."",""feedId"":""c_1448727411652931"",""friendFeedId"":""c_331812"",""fromWhere"":""3""}",yes,"{""result"":""success"",""data"":{""status"":""502""},""code"":""0""}",,,,,,,,
11,请求添加好友(新feed)--friendFeedId为空,communicate/addFriend ,http://124.251.88.61:18084/communicate/addFriend ,8.63637E+14,android,19,3.1.1,15300136026,"{""addComment"":""想与你交换名片..."",""feedId"":""c_300156"",""friendFeedId"":"""",""fromWhere"":""3""}",yes,"""code"":""6000""",,,,,,,,
12,接受好友请求(新feed),communicate/acceptFriend ,http://124.251.88.61:18084/communicate/acceptFriend,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""feedId"":""c_333474"",""friendFeedId"":""c_336440""}",yes,"""code"":""6004""",,,,,,,,
13,拒绝好友请求(新feed),communicate/refuseFriend,http://124.251.88.61:18084/communicate/refuseFriend,8.63637E+14,android,19,3.1.1,15300136026,"{""feedId"":""c_333474"",""friendFeedId"":""c_336440""}",yes,"""code"":""6004""",,,,,,,,
14,修改好友备注,communicate/updateRemarkName ,http://124.251.88.61:18084/communicate/updateRemarkName,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""feedId"":""c_333474"",""friendFeedId"":""c_336440"",""remarkName"":""朱建生""}",yes,"{""result"":""success"",""data"":{""namePinyin"":""zhu jian sheng ""},""code"":""0""}",,,,,,,,
15,修改好友备注-friendFeedId为空,communicate/updateRemarkName ,http://124.251.88.61:18084/communicate/updateRemarkName,8.63637E+14,android,19,3.1.1,15300136026,"{""feedId"":""c_333474"",""friendFeedId"":"""",""remarkName"":""朱建生""}",yes,"""code"":""6000""",,,,,,,,
16,设置VIP（新feed）,communicate/configVip,http://124.251.88.61:18084/communicate/configVip,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""feedId"":""c_323327"",""friendFeedId"":""c_336440""}",yes,"{""result"":""success"".*""code"":""0""}",,,,,,,,
17,设置VIP（新feed）-feedId为空,communicate/configVip,http://124.251.88.61:18084/communicate/configVip,8.63637E+14,android,19,3.1.1,15300136026,"{""feedId"":"""",""friendFeedId"":""c_336440""}",yes,"""code"":""6000""",,,,,,,,
18,设置VIP（新feed）-friendFeedId为空,communicate/configVip,http://124.251.88.61:18084/communicate/configVip,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""feedId"":""c_323327"",""friendFeedId"":""""}",yes,"""code"":""6000""",,,,,,,,
19,取消VIP（新feed）,communicate/cancelVip,http://124.251.88.61:18084/communicate/cancelVip,8.63637E+14,android,19,3.1.1,15300136026,"{""feedId"":""c_323327"",""friendFeedId"":""c_336440""}",yes,"{""result"":""success"".*""code"":""0""}",,,,,,,,
20,取消VIP（新feed）-feedId为空,communicate/cancelVip,http://124.251.88.61:18084/communicate/cancelVip,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""feedId"":"""",""friendFeedId"":""c_336440""}",yes,"""code"":""6000""",,,,,,,,
21,取消VIP（新feed）-friendFeedId为空,communicate/cancelVip,http://124.251.88.61:18084/communicate/cancelVip,8.63637E+14,android,19,3.1.1,15300136026,"{""feedId"":""c_323327"",""friendFeedId"":""""}",yes,"""code"":""6000""",,,,,,,,
28,来自通讯录的好友添加（新feed）,communicate/addFriendToUser,http://124.251.88.61:18084/communicate/addFriendToUser,8.63637E+14,android,19,3.1.1,15300136026,"{""addComment"":"""",""feedId"":""c_333474"",""friendmobile"":""15010106923""}",yes,"{""result"":""success"".*""code"":""0""}",,,,,,,,
29,来自通讯录的好友添加（新feed）-feedId为空,communicate/addFriendToUser,http://124.251.88.61:18084/communicate/addFriendToUser,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""addComment"":"""",""feedId"":"""",""friendmobile"":""15010106923""}",yes,"""code"":""6000""",,,,,,,,
30,来自通讯录的好友添加（新feed）-friendmobile为空,communicate/addFriendToUser,http://124.251.88.61:18084/communicate/addFriendToUser,8.63637E+14,android,19,3.1.1,15300136026,"{""addComment"":"""",""feedId"":""c_333474"",""friendmobile"":""""}",yes,"""code"":""6000""",,,,,,,,
31,创建群聊_Feed,communicate/createGroupChatForFeed,http://124.251.88.61:18084/communicate/createGroupChatForFeed,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""feedId"":""c_300156"",""feedIds"":""c_300234,c_333326"",""groupName"":""Haoyx的群聊"",""lastUpdateTime"":""0"",""userId"":""""}",yes,"""result"":""success"",""data"":.*""groupName"":""Haoyx的群聊"".*""code"":""0""",,,,,,,,
