序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）",if_token,预期返回包含的内容,,
5,注册-已注册手机号,user/userRegister,http://124.251.88.61:18087/user/userRegister,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":""13581535754"",""uuid"":""863637027549372"",""fromWhere"":""toon""}",no,"""code"":""1007""",,
6,注册-未注册手机号,user/userRegister,http://124.251.88.61:18087/user/userRegister,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":"""",""uuid"":""863637027549372"",""fromWhere"":""toon""}",no,"""result"":""success""",,
7,发送短信验证码,user/userMobileVerfiyCodeSend,http://124.251.88.61:18087/user/userMobileVerfiyCodeSend,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":""13581535754""}",yes,"""result"":""success""",,
8,发送短信验证码,user/userMobileVerfiyCodeSend,http://124.251.88.61:18087/user/userMobileVerfiyCodeSend,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""mobile"":""""}",yes,"""result"":""success""",,
9,校验短信验证码_正确验证码,user/userMobileVerfiyCodeCheck,http://124.251.88.61:18087/user/userMobileVerfiyCodeCheck,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":""13581535754"",""mobileVerfiyCode"":""111111""}",no,"""result"":""success""",,
10,校验短信验证码—错误验证码,user/userMobileVerfiyCodeCheck,http://124.251.88.61:18087/user/userMobileVerfiyCodeCheck,8.63637E+14,iOS,19,3.1.1,15300136026,"{""mobile"":""13581535754"",""mobileVerfiyCode"":""111112""}",no,"""code"":""1025""",,
11,向安全邮箱发送验证码-正确的手机号,user/userEmailVerfiyCodeSend,http://124.251.88.61:18087/user/userEmailVerfiyCodeSend,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":""13581535754""}",yes,"""result"":""success""",,
12,向安全邮箱发送验证码-错误的手机号,user/userEmailVerfiyCodeSend,http://124.251.88.61:18087/user/userEmailVerfiyCodeSend,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":""135815357541""}",yes,"""code"":""1009""",,
13,检查用户是否注册-已注册,user/userCheckRegister,http://124.251.88.61:18087/user/userCheckRegister,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":"""",""deviceId"":""863637027549372""}",no,"""userHasRegister"":""1""",,
14,检查用户是否注册-未注册,user/userCheckRegister,http://124.251.88.61:18087/user/userCheckRegister,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":"""",""deviceId"":""863637027549371""}",no,"""userHasRegister"":""0""",,
15,检查用户是否注册-未注册_ios,user/userCheckRegister,http://124.251.88.61:18087/user/userCheckRegister,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""mobile"":"""",""deviceId"":""863637027549371""}",no,"""userHasRegister"":""0""",,
16,检查用户是否注册-手机号不正确,user/userCheckRegister,http://124.251.88.61:18087/user/userCheckRegister,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""mobile"":"""",""deviceId"":""863637027549371""}",no,"""code"":""1090""",,
17,设置用户安全问题,user/userSetSecretQuestions,http://124.251.88.61:18087/user/userSetSecretQuestions,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""secretQuestion"":""1-111@2-222""}",yes,"""result"":""success""",,
18,设置用户安全问题-设置问题错误,user/userSetSecretQuestions,http://124.251.88.61:18087/user/userSetSecretQuestions,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""secretQuestion"":""1撒打发斯蒂芬""}",yes,"""code"":""1100""",,
19,设置用户安全问题-无效的userid,user/userSetSecretQuestions,http://124.251.88.61:18087/user/userSetSecretQuestions,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":""1900000000"",""secretQuestion"":""1-111""}",yes,"""code"":""1009""",,
20,校验验证码并注册-已经注册过的手机号,user/userCheckMobileVerfiyCodeAndRegister,http://124.251.88.61:18087/user/userCheckMobileVerfiyCodeAndRegister,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""mobile"":"""",""mobileVerfiyCode"":""111111""}",no,"""code"":""1002""",,需要动态获取手机验证码
21,校验验证码并注册-没有注册过手机号,user/userCheckMobileVerfiyCodeAndRegister,http://124.251.88.61:18087/user/userCheckMobileVerfiyCodeAndRegister,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":"""",""mobileVerfiyCode"":""111111""}",no,"""userName"":""13142359091""",,需要动态获取手机验证码
22,修改密码-正确请求,user/userChangePassword,http://124.251.88.61:18087/user/userChangePassword,8.63637E+14,android,19,3.1.1,15300136026,"{""oldPassword"":""haoyx123456"",""password"":""haoyx123456"",""type"":""1"",""userId"":""300141""}",yes,"""result"":""success""",,HTTPs请求
23,修改密码-错误的原始密码,user/userChangePassword,http://124.251.88.61:18087/user/userChangePassword,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""oldPassword"":""haoyx1234567"",""password"":""haoyx123456"",""type"":""1"",""userId"":""300141""}",yes,"""code"":""1043""",,HTTPs请求
24,修改密码-不需要传原始密码,user/userChangePassword,http://124.251.88.61:18087/user/userChangePassword,8.63637E+14,android,19,3.1.1,15300136026,"{""password"":""haoyx123456"",""type"":""0"",""userId"":""335554""}",yes,"""result"":""success""",,
25,修改密码-新密码为空,user/userChangePassword,http://124.251.88.61:18087/user/userChangePassword,8.63637E+14,android,19,3.1.1,15300136026,"{""oldPassword"":""haoyx123456"",""password"":"""",""type"":""1"",""userId"":""300141""}",yes,"""code"":""1043""",,现在会成功
26,修改用户手机号,user/userChangeMobile,http://124.251.88.61:18087/user/userChangeMobile,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""newMobile"":""13581535755"",""mobileVerfiyCode"":""111111""}",yes,"""result"":""success""",,需要验证码
27,修改用户手机号-验证码错误,user/userChangeMobile,http://124.251.88.61:18087/user/userChangeMobile,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""newMobile"":""13581535755"",""mobileVerfiyCode"":""""}",yes,"""code"":""1025""",,需要验证码
28,修改用户邮箱-修改成功,user/userChangeEmail,http://124.251.88.61:18087/user/userChangeEmail,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""email"":""111@163.com""}",yes,"""result"":""success""",,
29,修改用户邮箱-错误userid,user/userChangeEmail,http://124.251.88.61:18087/user/userChangeEmail,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":""454363463"",""email"":""111@163.com""}",yes,"""code"":""1014""",,HTTPs请求
30,修改用户邮箱_email不合法,user/userChangeEmail,http://124.251.88.61:18087/user/userChangeEmail,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""email"":""111.163.com""}",yes,"""code"":""1014""",,HTTPs请求
31,修改用户邮箱-修改成功-,user/userChangeEmail,http://124.251.88.61:18087/user/userChangeEmail,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""email"":""haoyuexun@126.com""}",yes,"""result"":""success""",,
32,获取用户安全问题,user/obtainAllUserLoginQuestions,http://124.251.88.61:18087/user/obtainAllUserLoginQuestions,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":""""}",yes,"""result"":""success""",,
33,获取用户安全问题-手机号不正确,user/obtainAllUserLoginQuestions,http://124.251.88.61:18087/user/obtainAllUserLoginQuestions,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""mobile"":""13120202020""}",yes,"""code"":""1100""",,
34,获取用户安全问题-手机号不合法,user/obtainAllUserLoginQuestions,http://124.251.88.61:18087/user/obtainAllUserLoginQuestions,8.63637E+14,android,19,3.1.1,15300136026,"{""mobile"":""1312020202""}",yes,"""code"":""1100""",,
