序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）",if_token,预期返回包含的内容
1,创建组织,org/createOrg,http://172.28.6.113:8080/org/createOrg,863637027549372,android,19,3.0,13581535754,"{""displayName"":""Haoyx测试组织"",""introduction"":""我的组织我做主"",""userId"":""""}",yes,"result:""success"",""data"":{""feedId"":""o_"
2,组织名称为xss代码,org/createOrg,http://172.28.6.113:8080/org/createOrg,863637027549372,iOS,8.2,3.0,13581535754,"{""displayName"":""><script>alert(document.cookie)</script>"",""introduction"":""='><script>alert(document.cookie)</script>"",""userId"":""""}",yes,"result:""success"",""data"":{""feedId"":""o_"
3,缺少必填参数,org/createOrg,http://172.28.6.113:8080/org/createOrg,863637027549372,iOS,8.2,3.0,13581535754,{},yes,"result:""error"""
4,组织面查询-匿名面,org/orgFrame,http://172.28.6.113:8080/org/orgFrame,863637027549372,android,19,3.0,13581535754,"{""toFeedId"":""o_336475"",""aspectType"":""1"",""timestamp"":""1""}",yes,"framePlugins:[{""framePluginId"":""-18"",""iconId"":"""",""title"":""交换名片"""
5,组织面查询-好友面,org/orgFrame,http://172.28.6.113:8080/org/orgFrame,863637027549372,android,19,3.0,13581535754,"{""aspectType"":""2"",""fromFeedId"":""o_3210"",""toFeedId"":""o_336475"",""version"":""1440580763841""}",yes,"result:""success"""
6,组织面查询-自己面,org/orgFrame,http://172.28.6.113:8080/org/orgFrame,863637027549372,android,19,3.0,13581535754,"{""aspectType"":""3"",""fromFeedId"":""o_336475"",""toFeedId"":""o_336475"",""version"":""1440580763841""}",yes,"result:""success"""
7,更新组织名片接口,org/updateOrg,http://172.28.6.113:8080/org/updateOrg,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336507"",""displayName"":""Haoyx组织_更改1"",""introduction"":""我的组织我做主_更改1""}",yes,"""result"":""success"",""data"":{""feedId"":""o_336506"""
8,更新组织名片接口,org/updateOrg,http://172.28.6.113:8080/org/updateOrg,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336507"",""displayName"":""Haoyx组织_更改1"",""introduction"":""我的组织我做主_更改1""，""avatarId"":""http://k.sinaimg.cn/n/transform/20150826/rUVP-fxhcvsf1130093.jpg/w570b82.jpg"",""backgroundId"":""http://k.sinaimg.cn/n/transform/20150827/R5uo-fxhkafi9643327.jpg/w57097e.jpg"",""joinMethod"":""2"",""recommendCardStatus"":""1"",""recommendCardOpenStatus"":""1"",""recommendEventStatus"":""1"",""recommendEventOpenStatus"":""1"",""recommendGroupStatus"":""1"",""recommendGroupOpenStatus"":""1"",""vcard"":""[{""displayName"":""名称"",""fieldId"":""56"",""status"":""1"",""fieldValue"":""组织名称hyx""},{""displayName"":""地址"",""fieldId"":""57"",""status"":""1"",""fieldValue"":""中国北京CBD""},{""displayName"":""电话"",""fieldId"":""58"",""status"":""1"",""fieldValue"":""010/5678910566984""},{""displayName"":""邮箱"",""fieldId"":""59"",""status"":""1"",""fieldValue"":""123@123.com""},{""displayName"":""传真"",""fieldId"":""60"",""status"":""1"",""fieldValue"":""010-1234567890""},{""displayName"":""业务"",""fieldId"":""61"",""status"":""1"",""fieldValue"":""互联网 大数据""},{""displayName"":""成立时间"",""fieldId"":""62"",""status"":""1"",""fieldValue"":""2010.8.9""},{""displayName"":""产品"",""fieldId"":""63"",""status"":""1"",""fieldValue"":""小豆冰棍艺术网""},{""displayName"":""行业"",""fieldId"":""64"",""status"":""1"",""fieldValue"":""互联网""},{""displayName"":""规模"",""fieldId"":""65"",""status"":""1"",""fieldValue"":""50-100""},{""displayName"":""公司性质"",""fieldId"":""66"",""status"":""1"",""fieldValue"":""私人""}]""}",yes,"""result"":""success"",""data"":{""feedId"":""o_336506"""
9,获取组织名片,org/obtainOrg,http://172.28.6.113:8080/org/obtainOrg,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506""}",yes,"""result"":""success"",""data"":{""feedId"":""o_336506"","
10,获取组织名片,org/obtainOrg,http://172.28.6.113:8080/org/obtainOrg,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336507""}",yes,"""result"":""success"",""data"":{""feedId"":""o_336507"".*""code"":""0"""
11,获取基本维度的组织树-3全部,org/obtainBaseDimOrgTree,http://172.28.6.113:8080/org/obtainBaseDimOrgTree,863637027549372,android,19,3.0,13581535754,"{""form"":{""orgFeedId"":""o_336506"",""updateTime"":""0""},""member"":""3""}",yes,"""result"":""success"",""data"":{""TNPOrgTreeNodeList"".*""TNPMemberNodeRelation"".*""TNPOrgMemberCardList"""
12,获取基本维度的组织树-1只查询员工信息,org/obtainBaseDimOrgTree,http://172.28.6.113:8080/org/obtainBaseDimOrgTree,863637027549372,iOS,8.2,3.0,13581535754,"{""form"":{""orgFeedId"":""o_336506"",""updateTime"":""0""},""member"":""1""}",yes,"""result"":""success"",""data"":{""TNPOrgTreeNodeList"".*""TNPOrgMemberCardList"""
13,获取基本维度的组织树-2只查询员工节点关系,org/obtainBaseDimOrgTree,http://172.28.6.113:8080/org/obtainBaseDimOrgTree,863637027549372,android,19,3.0,13581535754,"{""form"":{""orgFeedId"":""o_336506"",""updateTime"":""0""},""member"":""2""}",yes,"""result"":""success"",""data"":{""TNPOrgTreeNodeList"".*""TNPMemberNodeRelation"""
14,获取基本维度的组织树-0不查询,org/obtainBaseDimOrgTree,http://172.28.6.113:8080/org/obtainBaseDimOrgTree,863637027549372,iOS,8.2,3.0,13581535754,"{""form"":{""orgFeedId"":""o_336506"",""updateTime"":""0""},""member"":""0""}",yes,"""result"":""success"",""data"":{""TNPOrgTreeNodeList"""
15,通过组织id获取当前组织的所有员工名片关系,org/obtainMemNodeRelations ,http://172.28.6.113:8080/org/obtainMemNodeRelations,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506""}",yes,"""result"":""success"""
16,通过组织树节点id获取该节点下的组织成员名片-技术部,org/obtainMemCardsByNodes,http://172.28.6.113:8080/org/obtainMemCardsByNodes,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""nodeId"":360514}",yes,"""result"":""success"""
17,把成员添加到多个组织树节点(部门),org/addMemberToNodes,http://172.28.6.113:8080/org/addMemberToNodes,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedId"":""s_336641"",""nodeIdList"":[360515,360516]}",yes,"""result"":""success"""
18,把成员从某个部门删除,org/deleteMemberFromNode,http://172.28.6.113:8080/org/deleteMemberFromNode,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedId"":""s_336641"",""nodeId"":""360515""}",yes,"""result"":""success"""
,查询所有行业或者类别列表,org/obtainIndOrCates,http://172.28.6.113:8080/org/obtainIndOrCates,863637027549372,android,19,3.0,13581535754,{},yes,"""result"":""success"",""data"":{""TNPOrgCategoryList"":[{""categoryId"":""1"""
19,同意接收名片,org/acceptReceiveCard,http://172.28.6.113:8080/org/acceptReceiveCard,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedId"":""s_336724"",""name"":""我是新员工""}",yes,"""result"":""success"""
20,拒绝接受名片,org/refuseReceiveCard,http://172.28.6.113:8080/org/refuseReceiveCard,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedId"":""s_336724"",""name"":""我是新员工""}",yes,"""result"":""success"""
21,保存组织对外通讯录,org/saveExternalContacts,http://172.28.6.113:8080/org/saveExternalContacts,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedIdList"":[""s_336641"",""s_336646""]}",yes,"""result"":""success"""
22,查询对外通讯录,org/obtainExternalContacts,http://172.28.6.113:8080/org/obtainExternalContacts,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""o_336506""}",yes,"""result"":""success"""
23,删除组织对外通讯录,org/deleteExternalContacts,http://172.28.6.113:8080/org/deleteExternalContacts,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedIdList"":[""s_336641""]}",yes,"""result"":""success"""
24,获取企业列表,org/obtainCompanyList,http://172.28.6.113:8080/org/obtainCompanyList,863637027549372,iOS,8.2,3.0,13581535754,,yes,"""result"":""success"""
25,获取用户所有组织名片简单信息,org/obtainHomePage,http://172.28.6.113:8080/org/obtainHomePage,863637027549372,iOS,8.2,3.0,13581535754,,yes,"""result"":""success"",""data"":.*""feedId"".*"
26,通过多个Id查询组织成员简单信息列表_1个id,org/obtainSimpleMemCards,http://172.28.6.113:8080/org/obtainSimpleMemCards,863637027549372,android,19,3.0,13581535754,"{""feedIdList"":[""s_336641""]}",yes,"""result"":""success"",""data"":.*""feedId"".*"
27,通过多个Id查询组织成员简单信息列表-多个id,org/obtainSimpleMemCards,http://172.28.6.113:8080/org/obtainSimpleMemCards,863637027549372,iOS,8.2,3.0,13581535754,"{""feedIdList"":[""s_336641"",""s_336663""]}",yes,"""result"":""success"",""data"":[{""staffFeedId"":""s_336641"".*""staffFeedId"":""s_336663"",""cardNumber"":""126955"""
28,通过多个Id查询组织成员简单信息列表-多个id,org/obtainSimpleMemCards,http://172.28.6.113:8080/org/obtainSimpleMemCards,863637027549372,android,19,3.0,13581535754,"{""feedIdList"":[]}",yes,"""result"":""success"""
29,发放员工名片_haoyx,org/grantMemCard,http://172.28.6.113:8080/org/grantMemCard,863637027549372,iOS,8.2,3.0,13581535754,"{""staffFeedId"":""s_336641"",""orgFeedId"":""o_336506"",""orgName"":""Haoyx有限公司"",""userMobilePhone"":""13581535754""}",yes,"""result"":""success"""
30,发放员工名片_刘强,org/grantMemCard,http://172.28.6.113:8080/org/grantMemCard,863637027549372,android,19,3.0,13581535754,"{""staffFeedId"":""s_336647"",""orgFeedId"":""o_336506"",""orgName"":""Haoyx有限公司"",""userMobilePhone"":""13581535754""}",yes,"""result"":""success"""
31,收回员工名片-刘强,org/takeBackMemCard,http://172.28.6.113:8080/org/takeBackMemCard,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""orgName"":""Haoyx有限公司"",""staffFeedId"":""s_336647""}",yes,"""result"":""success"""
32,通过组织获取组织成员名片信息模板字段 ,org/obtainMemCardFields?,http://172.28.6.113:8080/org/obtainMemCardFields,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""o_336506""}",yes,"""result"":""success"",""data"":[{""fieldId"":""1"",""feedId"":""o_336506"",""displayName"":""部门"""
33,添加组织成员名片信息模板字段,org/addMemCardField?,http://172.28.6.113:8080/org/addMemCardField,863637027549372,android,19,3.0,13581535754,"{""displayName"":""haoyx工作年限"",""viewType"":""13"",""orgFeedId"":""o_336506""}",yes,"""result"":""success"",""data"":{.*""feedId"":""o_336506"",""displayName"":""haoyx工作年限"",""viewType"":""13"""
34,添加组织成员名片信息模板字段-缺少字段请求,org/addMemCardField?,http://172.28.6.113:8080/org/addMemCardField,863637027549372,android,19,3.0,13581535754,"{""viewType"":""13"",""orgFeedId"":""o_336506""}",yes,"""code"":""4001"""
35,保存组织成员名片信息模板字段,org/saveMemCardFields  ,http://172.28.6.113:8080/org/saveMemCardFields,863637027549372,android,19,3.0,13581535754,"{""memberCardFieldList"":[{""feedId"":""o_336506"",""displayName"":""haoyx工作年限"",""selectedStatus"":1}]}",yes,"""result"":""success"",""data"":[{""fieldId"":""1"",""feedId"":""o_336506"".*""displayName"":""haoyx论文数量"""
36,保存组织成员名片信息模板字段-feedId为空,org/saveMemCardFields  ,http://172.28.6.113:8080/org/saveMemCardFields,863637027549372,android,19,3.0,13581535754,"{""memberCardFieldList"":[{""feedId"":"""",""displayName"":""haoyx论文数量"",""selectedStatus"":1}]}",yes,"""code"": ""4002"""
37,删除组织名片信息模板字段?,org/deleteMemCardField,http://172.28.6.113:8080/org/deleteMemCardField,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""fieldId"":""323201""}",yes,"""result"":""success"""
