序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）",if_token,预期返回包含的内容
1,插入图文插件,plugin/addPosterPlugin,http://172.28.6.111:8080/plugin/addPosterPlugin,863637027549372,android,19,3.0,13581535754,"{\""userId\"":\""300141\"",\""feedId\"":\""c_323327\"",\""myPluginName\"":\""\"",\""styleContent\"":\""{\\\""bgColor\\\"":\\\""rgb(217, 231, 233)\\\"",\\\""opac\\\"":\\\""0.5\\\"",\\\""txtC\\\"":\\\""rgb(0, 0, 0)\\\"",\\\""txtSize\\\"":\\\""14px\\\"",\\\""bigPic\\\"":\\\""../../assets/images/template1_bg.png\\\""}\"",\""posterTitle\"":\""这是一个日新月异的时代\"",\""posterContent\"":\""../../assets/images/template1_bg.png\"",\""posterSource\"":\""2\"",\""cardFeedId\"":\""c_323327\""}",yes,"""result"":""success"".*""code"":""0"""
2,插入图文插件-feedId、cardFeedId为空,plugin/addPosterPlugin,http://172.28.6.111:8080/plugin/addPosterPlugin,863637027549372,iOS,8.2,3.0,13581535754,"{\""userId\"":\""300141\"",\""feedId\"":\""\"",\""myPluginName\"":\""\"",\""styleContent\"":\""{\\\""bgColor\\\"":\\\""rgb(217, 231, 233)\\\"",\\\""opac\\\"":\\\""0.5\\\"",\\\""txtC\\\"":\\\""rgb(0, 0, 0)\\\"",\\\""txtSize\\\"":\\\""14px\\\"",\\\""bigPic\\\"":\\\""../../assets/images/template1_bg.png\\\""}\"",\""posterTitle\"":\""这是一个日新月异的时代\"",\""posterContent\"":\""../../assets/images/template1_bg.png\"",\""posterSource\"":\""2\"",\""cardFeedId\"":\""\""}",yes,"""code"":""10007"""
3,获得显示插件类型列表-2:个人名片,plugin/obtainPluginList,http://172.28.6.111:8080/plugin/obtainPluginList,863637027549372,android,19,3.0,13581535754,"{""componentId"":""2"",""userId"":""""}",yes,"""result"":""success"",""data"":[{""componentId"":""2"".*""code"":""0"""
4,获得显示插件类型列表-1:活动,plugin/obtainPluginList,http://172.28.6.111:8080/plugin/obtainPluginList,863637027549372,iOS,8.2,3.0,13581535754,"{""componentId"":""1"",""userId"":""""}",yes,"""result"":""success"",""data"":[{""componentId"":""1"".*""code"":""0"""
5,获得显示插件类型列表-3:用户中心,plugin/obtainPluginList,http://172.28.6.111:8080/plugin/obtainPluginList,863637027549372,android,19,3.0,13581535754,"{""componentId"":""3"",""userId"":""""}",yes,"""result"":""success"",""data"":[{""componentId"":""3"".*""code"":""0"""
6,插入自定义表格插件,plugin/addSheetPlugin,http://172.28.6.111:8080/plugin/addSheetPlugin,863637027549372,android,19,3.0,13581535754,"{\""myPluginName\"":\""haoyx表格展板\"",\""styleContent\"":\""{\\\""bigPic\\\"":\\\""../assets/bg.png\\\"",\\\""bgColor\\\"":\\\""ff0\\\"",\\\""opac\\\"":\\\""0.4\\\"",\\\""txtC\\\"":\\\""000\\\"",\\\""txtSize\\\"":\\\""14\\\""}\"",\""cardFeedId\"":\""c_323327\"",\""sheetSource\"":\""2\"",\""feedId\"":\""c_323327\"",\""userId\"":\""300141\""}",yes,"""result"":""success"".*""code"":""0"""
7,插入自定义表格插件-feedId、cardFeedId为空,plugin/addSheetPlugin,http://172.28.6.111:8080/plugin/addSheetPlugin,863637027549372,iOS,8.2,3.0,13581535754,"{\""myPluginName\"":\""haoyx表格展板\"",\""styleContent\"":\""{\\\""bigPic\\\"":\\\""../assets/bg.png\\\"",\\\""bgColor\\\"":\\\""ff0\\\"",\\\""opac\\\"":\\\""0.4\\\"",\\\""txtC\\\"":\\\""000\\\"",\\\""txtSize\\\"":\\\""14\\\""}\"",\""cardFeedId\"":\""\"",\""sheetSource\"":\""2\"",\""feedId\"":\""\"",\""userId\"":\""300141\""}",yes,"""code"":""10007"""
8,插入地图插件,plugin/addMapLocationPlugin,http://172.28.6.111:8080/plugin/addMapLocationPlugin,863637027549372,android,19,3.0,13581535754,"{\""userId\"":\""300141\"",\""feedId\"":\""c_323327\"",\""myPluginName\"":\""单位地图位置\"",\""styleContent\"":\""{\\\""bgColor\\\"":\\\""rgb(228, 240, 235)\\\"",\\\""opac\\\"":\\\""0.5\\\"",\\\""txtC\\\"":\\\""rgb(0, 0, 0)\\\"",\\\""txtSize\\\"":\\\""14px\\\"",\\\""bigPic\\\"":\\\""http://toon.scloud.systoon.com/requestDownload?stoid=948b9be2eebf7ae44b8db8d60c5f96e71002&clientIp=127.0.0.1&returnType=2&returnMimeType=image/jpeg\\\""}\"",\""longitude\"":\""116.457629\"",\""latitude\"":\""39.996440\"",\""location\"":\""\"",\""content\"":\""\"",\""source\"":\""15\"",\""cardFeedId\"":\""c_323327\"",\""url\"":\""\""}",yes,"""result"":""success"".*""code"":""0"""
9,插入地图插件-feedId、cardFeedId为空,plugin/addMapLocationPlugin,http://172.28.6.111:8080/plugin/addMapLocationPlugin,863637027549372,iOS,8.2,3.0,13581535754,"{\""userId\"":\""300141\"",\""feedId\"":\""\"",\""myPluginName\"":\""单位地图位置\"",\""styleContent\"":\""{\\\""bgColor\\\"":\\\""rgb(228, 240, 235)\\\"",\\\""opac\\\"":\\\""0.5\\\"",\\\""txtC\\\"":\\\""rgb(0, 0, 0)\\\"",\\\""txtSize\\\"":\\\""14px\\\"",\\\""bigPic\\\"":\\\""http://toon.scloud.systoon.com/requestDownload?stoid=948b9be2eebf7ae44b8db8d60c5f96e71002&clientIp=127.0.0.1&returnType=2&returnMimeType=image/jpeg\\\""}\"",\""longitude\"":\""116.457629\"",\""latitude\"":\""39.996440\"",\""location\"":\""\"",\""content\"":\""\"",\""source\"":\""15\"",\""cardFeedId\"":\""\"",\""url\"":\""\""}",yes,"""code"":""10009"""
10,更新图文插件,plugin/updatePosterPlugin,http://172.28.6.111:8080/plugin/updatePosterPlugin,863637027549372,android,19,3.0,13581535754,"{\""userId\"":\""300141\"",\""feedId\"":\""300141\"",\""styleContent\"":\""{\\\""bgColor\\\"":\\\""rgb(217, 231, 233)\\\"",\\\""opac\\\"":\\\""0.5\\\"",\\\""txtC\\\"":\\\""rgb(0, 0, 0)\\\"",\\\""txtSize\\\"":\\\""14px\\\"",\\\""bigPic\\\"":\\\""../../assets/images/template1_bg.png\\\""}\"",\""myPluginId\"":\""6065\"",\""posterId\"":\""2313\"",\""posterTitle\"":\""这是一个日新月异的时代修。 修改9.8\"",\""posterContent\"":\""../../assets/images/template1_bg.png\"",\""posterSource\"":\""3\"",\""cardFeedId\"":\""300141\""}",yes,"""result"":""success"".*""code"":""0"""
11,更新图文插件-myPluginId为空,plugin/updatePosterPlugin,http://172.28.6.111:8080/plugin/updatePosterPlugin,863637027549372,iOS,8.2,3.0,13581535754,"{\""userId\"":\""300141\"",\""feedId\"":\""300141\"",\""styleContent\"":\""{\\\""bgColor\\\"":\\\""rgb(217, 231, 233)\\\"",\\\""opac\\\"":\\\""0.5\\\"",\\\""txtC\\\"":\\\""rgb(0, 0, 0)\\\"",\\\""txtSize\\\"":\\\""14px\\\"",\\\""bigPic\\\"":\\\""../../assets/images/template1_bg.png\\\""}\"",\""myPluginId\"":\""\"",\""posterId\"":\""2313\"",\""posterTitle\"":\""这是一个日新月异的时代修。 修改9.8\"",\""posterContent\"":\""../../assets/images/template1_bg.png\"",\""posterSource\"":\""3\"",\""cardFeedId\"":\""300141\""}",yes,"""code"":""10001"""
12,更新图文插件-posterId为空,plugin/updatePosterPlugin,http://172.28.6.111:8080/plugin/updatePosterPlugin,863637027549372,android,19,3.0,13581535754,"{\""userId\"":\""300141\"",\""feedId\"":\""300141\"",\""styleContent\"":\""{\\\""bgColor\\\"":\\\""rgb(217, 231, 233)\\\"",\\\""opac\\\"":\\\""0.5\\\"",\\\""txtC\\\"":\\\""rgb(0, 0, 0)\\\"",\\\""txtSize\\\"":\\\""14px\\\"",\\\""bigPic\\\"":\\\""../../assets/images/template1_bg.png\\\""}\"",\""myPluginId\"":\""6065\"",\""posterId\"":\""\"",\""posterTitle\"":\""这是一个日新月异的时代修。 修改9.8\"",\""posterContent\"":\""../../assets/images/template1_bg.png\"",\""posterSource\"":\""3\"",\""cardFeedId\"":\""300141\""}",yes,"""code"":""10001"""
13,更新自定义表格插件,plugin/updateSheetPlugin ,http://172.28.6.111:8080/plugin/updateSheetPlugin,863637027549372,android,19,3.0,13581535754,,yes,"""result"":""success"".*""code"":""0"""
14,更新地图插件,plugin/updateMapLocationPlugin ,http://172.28.6.111:8080/plugin/updateMapLocationPlugin,863637027549372,iOS,8.2,3.0,13581535754,,yes,"""result"":""success"".*""code"":""0"""
15,插入我的插件,plugin/addMyPlugin ,http://172.28.6.111:8080/plugin/addMyPlugin,863637027549372,iOS,8.2,3.0,13581535754,,yes,"""result"":""success"".*""code"":""0"""
16,更新我的展板配置,plugin/updateMyPlugin,http://172.28.6.111:8080/plugin/updateMyPlugin,863637027549372,android,19,3.0,13581535754,,yes,"""result"":""success"".*""code"":""0"""
17,维护使用插件的名片列表,plugin/updateUsePluginCardList,http://172.28.6.111:8080/plugin/updateUsePluginCardList,863637027549372,android,19,3.0,13581535754,,yes,"""result"":""success"".*""code"":""0"""
18,获得未注册的应用列表,plugin/obtainUnRegApp,http://172.28.6.111:8080/plugin/obtainUnRegApp,863637027549372,iOS,8.2,3.0,13581535754,"{""objectType"":""2"",""feedId"":""c_323327""}",yes,"""result"":""success"",""data"":[{""appId"".*""remark"".*""code"":""0"""
19,获得已经注册的应用列表,plugin/obtainRegApp,http://172.28.6.111:8080/plugin/obtainRegApp,863637027549372,android,19,3.0,13581535754,"{""objectType"":""2"",""feedId"":""c_323327""}",yes,"""result"":""success"".*""code"":""0"""
20,获得应用列表,plugin/obtainAppList,http://172.28.6.111:8080/plugin/obtainAppList,863637027549372,iOS,8.2,3.0,13581535754,"{""source"":""2""}",yes,"""result"":""success"",""data"":{""TNPApp"":.*systoon.*""code"":""0"""
21,获得已使用的应用列表,plugin/obtainUsedAppList,http://172.28.6.111:8080/plugin/obtainUsedAppList,863637027549372,android,19,3.0,13581535754,"{""source"":""2""}",yes,"""result"":""success"".*""code"":""0"""
22,添加应用,plugin/addApp,http://172.28.6.111:8080/plugin/addApp,863637027549372,iOS,8.2,3.0,13581535754,"{""source"":""2"",""appId"":""1217""}",yes,"""result"":""success"",""data"":{""TNPApp"":.*systoon.*""code"":""0"""
23,获得有公共库服务压缩包存储id列表（mwap调用）,plugin/obtainPublicService,http://172.28.6.111:8080/plugin/obtainPublicService,863637027549372,android,19,3.0,13581535754,{},yes,"""result"":""success"".*""code"":""0"""
24,删除应用,plugin/delApp,http://172.28.6.111:8080/plugin/delApp,863637027549372,iOS,8.2,3.0,13581535754,"{""userId"":"""",""appId"":""1217""}",yes,"""result"":""success"".*""code"":""0"""
25,获取服务列表,plugin/obtainServiceApp,http://172.28.6.111:8080/plugin/obtainServiceApp,863637027549372,android,19,3.0,13581535754,{},yes,"""result"":""success"",""data"":.*""icon"".*""name"".*""code"":""0"""
26,获取社区列表,plugin/obtainCommunityApp ,http://172.28.6.111:8080/plugin/obtainCommunityApp ,863637027549372,iOS,8.2,3.0,13581535754,{},yes,"""result"":""success"",""data"".*""icon"".*""code"":""0"""
